evt_block_number,evt_block_time,evt_tx_hash,owner,origin,amount,amount0,amount1,tick_lower,tick_upper,evt_index
19197540,2024-02-10 16:54:11,0x00baf48e32f249a30a97722d116db55755560abd33dcf7705f8684930ea3e5ea,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,272963036336612104470528,133.807074670913771295,4.806572515149169177,-340,-330,64
19837448,2024-05-10 10:08:11,0x03278cd3690f49edbcd7c31851a154e7b177992dec7b08036865a8cccc204806,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,1,0,0,-380,-320,197
19837448,2024-05-10 10:08:11,0x03278cd3690f49edbcd7c31851a154e7b177992dec7b08036865a8cccc204806,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,0,0,0,-380,-320,199
19837448,2024-05-10 10:08:11,0x03278cd3690f49edbcd7c31851a154e7b177992dec7b08036865a8cccc204806,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,1,0,0,-370,-340,205
19837448,2024-05-10 10:08:11,0x03278cd3690f49edbcd7c31851a154e7b177992dec7b08036865a8cccc204806,0xc36442b4a4522e871399cd717abdd847ab11fe88,0x43e9fa7a60f80711c9d3afe4ce1bb3e8c3f7a9b8,0,0,0,-370,-340,207
19155618,2024-02-04 19:43:59,0x03eaef0f3a47f22873ca42da9e711696129d1d41fa110efdf5b11df566eb2b94,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,275392264183341891190784,137.55400958011455767,2.378603518482644036,-340,-330,43
19481419,2024-03-21 12:01:11,0x041890501ee864fea8a957f631264c2b655e4e2bd040dc1b1310d570cc0abb22,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,1130123121645868640370688,517.844845501869355341,53.943994339204311661,-300,-290,41
19154545,2024-02-04 16:06:47,0x055cb60f66faa495b8b3a8c60109e77b211c49705f058761d66f9f3bb2b2d809,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,179970125038580085555200,67.418957005820939912,23.279495800398139322,-340,-330,24
19302697,2024-02-25 11:05:59,0x07202e1ed422d28479e80a2da122aff876ebad00d3f18404c238423b150f434d,0x0d3c2261747b2079f6abd459642421a8087aead5,0xa6ae57b1da8238cd149bc718c40578e4620b752c,125047669092922831592981,59.229206495065151587,65.649627022607948583,-360,-340,51
19313612,2024-02-26 23:46:35,0x0aa184bb6c0e5f981f9fc4b92c793061a644e7a53e87be8b1555b7fc6fc0f6c5,0x6b75d8af000000e20b7a7ddf000ba900b4009a80,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,111236889805718468689920,54.781792245265839557,1.790663440656408609,-370,-360,29
