evt_block_time,evt_block_number,date,month
2021-06-01 00:02:25+00:00,12545234,2021-06-01,2021-06
2021-07-01 00:06:59+00:00,12738536,2021-07-01,2021-07
2021-08-01 00:00:17+00:00,12936340,2021-08-01,2021-08
2021-09-01 00:01:24+00:00,13136432,2021-09-01,2021-09
2021-10-01 00:20:16+00:00,13330176,2021-10-01,2021-10
2021-11-01 01:33:21+00:00,13528272,2021-11-01,2021-11
2021-12-01 00:03:28+00:00,13717856,2021-12-01,2021-12
2022-01-01 00:09:40+00:00,13916217,2022-01-01,2022-01
2022-02-01 00:24:55+00:00,14116878,2022-02-01,2022-02
2022-03-01 00:03:05+00:00,14297770,2022-03-01,2022-03
2022-04-01 00:24:37+00:00,14497156,2022-04-01,2022-04
2022-05-01 01:35:57+00:00,14689034,2022-05-01,2022-05
2022-06-01 00:01:54+00:00,14881684,2022-06-01,2022-06
2022-07-01 00:00:00+00:00,15053226,2022-07-01,2022-07
2022-08-01 00:00:19+00:00,15253307,2022-08-01,2022-08
2022-09-01 00:08:52+00:00,15449651,2022-09-01,2022-09
2022-10-01 00:10:47+00:00,15649648,2022-10-01,2022-10
2022-11-01 00:13:23+00:00,15871546,2022-11-01,2022-11
2022-12-01 00:06:59+00:00,16086267,2022-12-01,2022-12
2023-01-01 00:15:11+00:00,16308265,2023-01-01,2023-01
2023-02-01 00:09:47+00:00,16530296,2023-02-01,2023-02
2023-03-01 00:09:59+00:00,16730120,2023-03-01,2023-03
2023-04-01 00:04:23+00:00,16950624,2023-04-01,2023-04
2023-05-01 00:00:35+00:00,17162288,2023-05-01,2023-05
2023-06-01 00:01:47+00:00,17382274,2023-06-01,2023-06
2023-07-01 00:01:23+00:00,17595516,2023-07-01,2023-07
2023-08-01 00:15:11+00:00,17816508,2023-08-01,2023-08
2023-09-01 00:00:23+00:00,18037989,2023-09-01,2023-09
2023-10-01 01:22:23+00:00,18252374,2023-10-01,2023-10
2023-11-01 00:16:35+00:00,18473624,2023-11-01,2023-11
2023-12-01 00:16:59+00:00,18687935,2023-12-01,2023-12
2024-01-01 00:18:47+00:00,18908985,2024-01-01,2024-01
2024-02-01 00:04:23+00:00,19129910,2024-02-01,2024-02
2024-03-01 00:11:59+00:00,19336665,2024-03-01,2024-03
2024-04-01 00:04:59+00:00,19557313,2024-04-01,2024-04
