,,position_key,liquidity_provider,tick_lower,tick_upper,_liquidity_raw,feeGrowthInside0LastX128,feeGrowthInside1LastX128,tokensOwed0_raw,tokensOwed1_raw
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_69060_80040,0x330997E70b83f1a562490FCaA5996314fA5a971a_69060_80040,0x330997E70b83f1a562490FCaA5996314fA5a971a,69060,80040,38075574507606840000000,247788224860539790182481396796332,112541665980520486195964660173427616,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_69060_76500,0x330997E70b83f1a562490FCaA5996314fA5a971a_69060_76500,0x330997E70b83f1a562490FCaA5996314fA5a971a,69060,76500,38075574507606840000,228474768019242068269615793851451,89500003206509465947950097034435479,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_75480_80040,0x330997E70b83f1a562490FCaA5996314fA5a971a_75480_80040,0x330997E70b83f1a562490FCaA5996314fA5a971a,75480,80040,61041383501865165000,0,0,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_72720_78420,0x330997E70b83f1a562490FCaA5996314fA5a971a_72720_78420,0x330997E70b83f1a562490FCaA5996314fA5a971a,72720,78420,0,0,4835009175281771819715947390841196,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_72900_78480,0x330997E70b83f1a562490FCaA5996314fA5a971a_72900_78480,0x330997E70b83f1a562490FCaA5996314fA5a971a,72900,78480,0,0,11897151657419614954529015800772801,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_72780_78420,0x330997E70b83f1a562490FCaA5996314fA5a971a_72780_78420,0x330997E70b83f1a562490FCaA5996314fA5a971a,72780,78420,0,2183700993013304634790920255825,0,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_72660_78300,0x330997E70b83f1a562490FCaA5996314fA5a971a_72660_78300,0x330997E70b83f1a562490FCaA5996314fA5a971a,72660,78300,0,0,11559049161622207932045032084797784,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_72780_78540,0x330997E70b83f1a562490FCaA5996314fA5a971a_72780_78540,0x330997E70b83f1a562490FCaA5996314fA5a971a,72780,78540,0,18424419739217243880935697329595,0,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_73020_78420,0x330997E70b83f1a562490FCaA5996314fA5a971a_73020_78420,0x330997E70b83f1a562490FCaA5996314fA5a971a,73020,78420,0,2141241873519412888359327114441,0,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_72660_78480,0x330997E70b83f1a562490FCaA5996314fA5a971a_72660_78480,0x330997E70b83f1a562490FCaA5996314fA5a971a,72660,78480,0,0,7548938823444673272572134835300321,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_72780_78480,0x330997E70b83f1a562490FCaA5996314fA5a971a_72780_78480,0x330997E70b83f1a562490FCaA5996314fA5a971a,72780,78480,0,6181646550864594924076334869949,0,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_73200_78780,0x330997E70b83f1a562490FCaA5996314fA5a971a_73200_78780,0x330997E70b83f1a562490FCaA5996314fA5a971a,73200,78780,0,21506538918501029124620008569822,0,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_72540_78180,0x330997E70b83f1a562490FCaA5996314fA5a971a_72540_78180,0x330997E70b83f1a562490FCaA5996314fA5a971a,72540,78180,0,134982716631683223120040670773038,43877422064962904644421188330360528,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_72600_78000,0x330997E70b83f1a562490FCaA5996314fA5a971a_72600_78000,0x330997E70b83f1a562490FCaA5996314fA5a971a,72600,78000,0,0,11733787734991514436659915952200297,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_72720_78600,0x330997E70b83f1a562490FCaA5996314fA5a971a_72720_78600,0x330997E70b83f1a562490FCaA5996314fA5a971a,72720,78600,0,0,12040177660328734087446186251080943,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_72720_78720,0x330997E70b83f1a562490FCaA5996314fA5a971a_72720_78720,0x330997E70b83f1a562490FCaA5996314fA5a971a,72720,78720,0,0,7790928103463647346574372984028567,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_72600_78780,0x330997E70b83f1a562490FCaA5996314fA5a971a_72600_78780,0x330997E70b83f1a562490FCaA5996314fA5a971a,72600,78780,0,1623642456568666803264265021256,0,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_72840_78480,0x330997E70b83f1a562490FCaA5996314fA5a971a_72840_78480,0x330997E70b83f1a562490FCaA5996314fA5a971a,72840,78480,0,0,8427987224108033227864411105098961,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_73020_78720,0x330997E70b83f1a562490FCaA5996314fA5a971a_73020_78720,0x330997E70b83f1a562490FCaA5996314fA5a971a,73020,78720,0,0,17642312615166759064843486768163162,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_73020_78960,0x330997E70b83f1a562490FCaA5996314fA5a971a_73020_78960,0x330997E70b83f1a562490FCaA5996314fA5a971a,73020,78960,0,24621603735424110240904498301373,17642312615166759064843486768163162,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_72720_78360,0x330997E70b83f1a562490FCaA5996314fA5a971a_72720_78360,0x330997E70b83f1a562490FCaA5996314fA5a971a,72720,78360,0,0,6347062953767922226953768650942626,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_72660_78120,0x330997E70b83f1a562490FCaA5996314fA5a971a_72660_78120,0x330997E70b83f1a562490FCaA5996314fA5a971a,72660,78120,0,13966504248352772149958920534517,0,0,0
0,0x330997E70b83f1a562490FCaA5996314fA5a971a_72660_78060,0x330997E70b83f1a562490FCaA5996314fA5a971a_72660_78060,0x330997E70b83f1a562490FCaA5996314fA5a971a,72660,78060,90515529388168430000,0,0,0,0
0,0xF000C64CB8F10426fd8484E26c631B2c015671F4_69300_77160,0xF000C64CB8F10426fd8484E26c631B2c015671F4_69300_77160,0xF000C64CB8F10426fd8484E26c631B2c015671F4,69300,77160,47606174594821235000,0,0,0,0
0,0xF000C64CB8F10426fd8484E26c631B2c015671F4_69000_79620,0xF000C64CB8F10426fd8484E26c631B2c015671F4_69000_79620,0xF000C64CB8F10426fd8484E26c631B2c015671F4,69000,79620,125071312500319010000,0,0,0,0
0,0xF000C64CB8F10426fd8484E26c631B2c015671F4_73740_78900,0xF000C64CB8F10426fd8484E26c631B2c015671F4_73740_78900,0xF000C64CB8F10426fd8484E26c631B2c015671F4,73740,78900,274999582719160120000,0,0,0,0
