,,tick,liquidityGross_raw,liquidityNet_raw,feeGrowthOutside0X128,feeGrowthOutside1X128,tickCumulativeOutside,tickBitmap
0,78720,78720,0,0,0,0,0,0
0,78600,78600,0,0,0,0,0,0
0,72840,72840,0,0,0,0,0,0
0,76680,76680,142066134102763240000,-142066134102763240000,0,0,0,0
0,73740,73740,274999582719160120000,274999582719160120000,462537590120123830503434264862342,239256054625338116305913236710919437,326422650563053,0
0,69900,69900,92879333148612050000,92879333148612050000,490874839412858157277625120499825,256328888332837837714385836198682562,326422700678718,0
0,72720,72720,0,0,0,0,0,0
0,78480,78480,0,0,0,0,0,0
0,76560,76560,237636283176356540000,-237636283176356540000,0,0,0,0
0,72600,72600,0,0,0,0,0,0
0,78360,78360,335445913751851100000,-335445913751851100000,0,0,0,0
0,70680,70680,122849128095913200000,122849128095913200000,750980065917157036256928436048491,370776527621534982690980492646816911,651436335734645,0
0,68760,68760,115076550056381240000,115076550056381240000,1099823118725731129737033445944457,583954456851329738464494254764506657,975635687876813,0
0,78240,78240,374456229123584300000,-374456229123584300000,0,0,0,0
0,77220,77220,554933787986107200000,-554933787986107200000,0,0,0,0
0,80040,80040,38136615891108705165000,-38136615891108705165000,0,0,0,0
0,78120,78120,63678157907005230000,-63678157907005230000,0,0,0,0
0,72360,72360,709902142875435400000,709902142875435400000,799045330658933440382637333908770,386017871023473561491907622733921121,651436455320913,0
0,78000,78000,0,0,0,0,0,0
0,69300,69300,111284332501826465000,111284332501826465000,329311677420595982399435955321362,148715976145681959179804904255371953,326422496898385,0
0,78900,78900,274999582719160120000,-274999582719160120000,0,0,0,0
0,74040,74040,18888247242687267000,18888247242687267000,490874839412858157277625120499825,246945148982603010297582990514494292,326422698029254,0
0,72060,72060,8420169393476714000,8420169393476714000,799045330658933440382637333908770,389390003201263160731081213877819765,651436457887735,0
0,78780,78780,0,0,0,0,0,0
0,73020,73020,0,0,0,0,0,0
0,79680,79680,18888247242687267000,-18888247242687267000,0,0,0,0
0,77760,77760,115076550056381240000,-115076550056381240000,0,0,0,0
0,69060,69060,38113650082114446840000,38113650082114446840000,0,0,380060,0
0,72900,72900,0,0,0,0,0,0
0,72780,72780,0,0,0,0,0,0
0,78540,78540,0,0,0,0,0,0
0,69240,69240,142066134102763240000,142066134102763240000,1003706045147050251930598749094891,510296449145541051868560277646827601,975635452431137,0
0,76500,76500,38075574507606840000,-38075574507606840000,0,0,0,0
0,78420,78420,92879333148612050000,-92879333148612050000,0,0,0,0
0,72660,72660,90515529388168430000,90515529388168430000,1119971269524948496811068701348923,611888882388219879965956222704761109,975635728104310,0
0,75480,75480,61041383501865165000,61041383501865165000,791079015246664651098719147452441,392066202822234688986050639715050169,649258852252497,0
0,72540,72540,0,0,0,0,0,0
0,78300,78300,0,0,0,0,0,0
0,73440,73440,237636283176356540000,237636283176356540000,711803615164675027857315636538845,351464885328009957453749211541540859,651436245686954,0
0,71520,71520,99546520607850760000,99546520607850760000,777317767584375089985135370276848,370776527621534982690980492646816911,651436340567379,0
0,78180,78180,0,0,0,0,0,0
0,74340,74340,554933787986107200000,554933787986107200000,641612969582031170883600864447735,323241818636284307670040785820083472,651436195646262,0
0,77160,77160,170455302690734435000,-170455302690734435000,0,0,0,0
0,78060,78060,90515529388168430000,-90515529388168430000,0,0,0,0
0,74220,74220,247885027632641050000,247885027632641050000,513145380632453856348803445855259,267000386441684152221954667549939901,326422705598273,0
0,73200,73200,0,0,0,0,0,0
0,78960,78960,0,0,0,0,0,0
0,78840,78840,107966690001327474000,-107966690001327474000,0,0,0,0
0,79740,79740,247885027632641050000,-247885027632641050000,0,0,0,0
